Time Full,Time Empty,Truck,Assigned Shovel,Shovel,Blast,Elevation,Grade,Material,Assigned Dump,Dump,Tonnage,Truck Factor,Truck fill,Computed Tonnage,Grade 1,Grade 2,Grade 3,assignment_reason,dump.assignment_reason
1/31/2023 7:01,1/31/2023 7:11,HT141,EX205,EX205,ST_8_400_3,388.454,8390607HG-C1,HG,CRUSHER_2,CRUSHER_2,201.3,233,86,233,0.482,0.006,0.344,Shovel Assignment,Locked Assignment
1/31/2023 7:02,1/31/2023 7:15,HT124,WL231,WL231,ST_2_280_2,277.225,2280647HG-C1,HG,CRUSHER_2,CRUSHER_2,136.4,128,107,128,0.473,0.014,0.916,Shovel Reassignment,Locked Assignment
1/31/2023 7:02,1/31/2023 7:15,HT128,WL221,WL221,ST_2_280_3,277.263,2280628HG-C1,HG,CRUSHER,CRUSHER,122.9,128,96,128,0.541,0.008,0.69,Shovel Assignment,Locked Assignment
1/31/2023 7:06,1/31/2023 7:16,HT142,EX205,EX205,ST_8_400_3,388.914,8390607HG-C1,HG,CRUSHER_2,CRUSHER_2,218.1,233,94,233,0.482,0.006,0.344,Shovel Assignment,Locked Assignment
1/31/2023 7:06,1/31/2023 7:20,HT125,WL231,WL231,ST_2_280_2,278.035,2280647HG-C1,HG,CRUSHER_2,CRUSHER_2,127.9,128,100,128,0.473,0.014,0.916,Shovel Assignment,Locked Assignment
1/31/2023 7:07,1/31/2023 7:20,HT121,WL221,WL221,ST_2_280_3,276.122,2280628HG-C1,HG,CRUSHER,CRUSHER,124.0,128,97,128,0.541,0.008,0.69,Shovel Assignment,Locked Assignment
1/31/2023 7:11,1/31/2023 7:22,HT144,EX205,EX205,ST_8_400_3,387.383,8390607HG-C1,HG,CRUSHER_2,CRUSHER_2,196.7,233,84,233,0.482,0.006,0.344,Shovel Assignment,Locked Assignment
1/31/2023 7:11,1/31/2023 7:24,HT122,WL221,WL221,ST_2_280_3,277.333,2280628HG-C1,HG,CRUSHER,CRUSHER,126.7,128,99,128,0.541,0.008,0.69,Shovel Assignment,Locked Assignment
1/31/2023 7:12,1/31/2023 7:27,HT126,WL231,WL231,ST_2_280_2,277.555,2280647HG-C1,HG,CRUSHER_2,CRUSHER_2,131.6,128,103,128,0.473,0.014,0.916,Shovel Reassignment,Locked Assignment
1/31/2023 7:15,1/31/2023 7:27,HT129,WL221,WL221,ST_2_280_3,277.253,2280628HG-C1,HG,CRUSHER,CRUSHER,124.9,128,98,128,0.541,0.008,0.69,Shovel Assignment,Locked Assignment
