Time Full,Time Empty,Truck,Assigned Shovel,Shovel,Blast,Elevation,Grade,Material,Assigned Dump,Dump,Tonnage,Truck Factor,Truck fill,Computed Tonnage,Grade 1,Grade 2,Grade 3,assignment_reason,dump.assignment_reason
8/1/2023 7:01,8/1/2023 7:15,HT126,WL232,WL232,ST_8_370_2,366.566,8370635HG-C1,HG,CRUSHER,CRUSHER,126.2,128,99%,128,0.504,0.011,0.656,Shovel Assignment,Dump Assignment
8/1/2023 7:02,8/1/2023 7:17,HT121,EX206,EX206,ST_2_250_1,247.932,2250601HG-C1,HG,CRUSHER_2,CRUSHER_2,131.1,128,102%,128,0.531,0.009,0.74,Shovel Assignment,Dump Assignment
8/1/2023 7:09,8/1/2023 7:21,HT125,EX205,EX205,ST_8_370_1,367.204,8370627LG-B1,LG,CRUSHER,CRUSHER,131.4,128,103%,128,0.332,0.012,0.417,Shovel Assignment,Dump Assignment
8/1/2023 7:12,8/1/2023 7:22,HT143,EX205,EX205,ST_8_370_1,363.162,8370627LG-B1,LG,CRUSHER_2,CRUSHER_2,218.8,233,94%,233,0.332,0.012,0.417,Shovel Assignment,Manual Assignment
8/1/2023 7:12,8/1/2023 7:22,HT145,WL232,WL232,ST_8_370_2,367.636,8370635HG-C1,HG,CRUSHER,CRUSHER,213.1,233,91%,233,0.504,0.011,0.656,Shovel Assignment,Dump Assignment
8/1/2023 7:13,8/1/2023 7:27,HT122,EX206,EX206,ST_2_250_1,246.921,2250601HG-C1,HG,CRUSHER,CRUSHER,131.3,128,103%,128,0.531,0.009,0.74,Shovel Assignment,Dump Assignment
8/1/2023 7:14,8/1/2023 7:25,HT128,EX205,EX205,ST_8_370_1,365.593,8370627LG-B1,LG,CRUSHER_2,CRUSHER_2,131.6,128,103%,128,0.332,0.012,0.417,Locked Assignment,Manual Assignment
8/1/2023 7:16,8/1/2023 7:28,HT124,WL232,WL232,ST_8_370_2,367.546,8370635HG-C1,HG,CRUSHER,CRUSHER,129.1,128,101%,128,0.504,0.011,0.656,Shovel Assignment,Dump Assignment
8/1/2023 7:18,8/1/2023 7:30,HT129,EX205,EX205,ST_8_370_1,366.534,8370627LG-B1,LG,CRUSHER_2,CRUSHER_2,130.6,128,102%,128,0.332,0.012,0.417,Locked Assignment,Manual Assignment
8/1/2023 7:19,8/1/2023 7:33,HT144,EX206,EX206,ST_2_250_1,251.433,2250601HG-C1,HG,CRUSHER,CRUSHER,219.7,233,94%,233,0.531,0.009,0.74,Shovel Assignment,Dump Assignment
